observation_date,ATNHPIUS47894Q
1975-07-01,31.52
1975-10-01,31.05
1976-01-01,31.14
1976-04-01,32.41
1976-07-01,33.42
1976-10-01,33.19
1977-01-01,33.34
1977-04-01,34.98
1977-07-01,35.81
1977-10-01,36.67
1978-01-01,37.7
1978-04-01,39.07
1978-07-01,40.8
1978-10-01,41.79
1979-01-01,43.22
1979-04-01,44.04
1979-07-01,45.32
1979-10-01,46.23
1980-01-01,48.15
1980-04-01,49.67
1980-07-01,50.94
1980-10-01,51.6
1981-01-01,52.18
1981-04-01,53.07
1981-07-01,51.72
1981-10-01,53.44
1982-01-01,45.5
1982-04-01,53.28
1982-07-01,51.13
1982-10-01,55.38
1983-01-01,55.53
1983-04-01,56.82
1983-07-01,57.03
1983-10-01,57.85
1984-01-01,57.37
1984-04-01,59.74
1984-07-01,60.5
1984-10-01,60.87
1985-01-01,61.61
1985-04-01,62.97
1985-07-01,64.41
1985-10-01,64.83
1986-01-01,65.74
1986-04-01,67.53
1986-07-01,69.51
1986-10-01,71.18
1987-01-01,73.26
1987-04-01,75.83
1987-07-01,79.75
1987-10-01,82.41
1988-01-01,85.65
1988-04-01,89.25
1988-07-01,91.97
1988-10-01,94.4
1989-01-01,96.6
1989-04-01,99.1
1989-07-01,100.94
1989-10-01,101.85
1990-01-01,102.11
1990-04-01,102.41
1990-07-01,101.87
1990-10-01,100.53
1991-01-01,101.07
1991-04-01,101.22
1991-07-01,100.41
1991-10-01,102.01
1992-01-01,102.32
1992-04-01,101.5
1992-07-01,102.32
1992-10-01,102.43
1993-01-01,102.2
1993-04-01,102.4
1993-07-01,102.42
1993-10-01,102.96
1994-01-01,103.15
1994-04-01,102.23
1994-07-01,101.16
1994-10-01,100.28
1995-01-01,100.0
1995-04-01,100.89
1995-07-01,102.14
1995-10-01,102.87
1996-01-01,104.04
1996-04-01,102.69
1996-07-01,101.68
1996-10-01,102.37
1997-01-01,102.79
1997-04-01,102.37
1997-07-01,103.33
1997-10-01,104.11
1998-01-01,105.59
1998-04-01,105.73
1998-07-01,106.28
1998-10-01,107.46
1999-01-01,108.69
1999-04-01,109.52
1999-07-01,111.45
1999-10-01,113.1
2000-01-01,115.69
2000-04-01,119.38
2000-07-01,122.31
2000-10-01,125.1
2001-01-01,129.2
2001-04-01,133.05
2001-07-01,137.2
2001-10-01,140.24
2002-01-01,143.91
2002-04-01,149.17
2002-07-01,154.24
2002-10-01,157.1
2003-01-01,160.03
2003-04-01,163.19
2003-07-01,168.35
2003-10-01,177.31
2004-01-01,182.84
2004-04-01,192.31
2004-07-01,209.76
2004-10-01,217.45
2005-01-01,227.49
2005-04-01,244.5
2005-07-01,257.78
2005-10-01,268.98
2006-01-01,274.29
2006-04-01,278.67
2006-07-01,279.9
2006-10-01,281.95
2007-01-01,280.11
2007-04-01,278.1
2007-07-01,271.97
2007-10-01,265.68
2008-01-01,258.29
2008-04-01,242.01
2008-07-01,229.66
2008-10-01,225.39
2009-01-01,225.58
2009-04-01,218.12
2009-07-01,213.24
2009-10-01,213.92
2010-01-01,211.72
2010-04-01,211.96
2010-07-01,214.66
2010-10-01,214.15
2011-01-01,209.44
2011-04-01,208.89
2011-07-01,211.71
2011-10-01,213.75
2012-01-01,212.58
2012-04-01,212.12
2012-07-01,215.37
2012-10-01,216.89
2013-01-01,218.51
2013-04-01,222.72
2013-07-01,225.83
2013-10-01,227.43
2014-01-01,229.09
2014-04-01,233.89
2014-07-01,235.74
2014-10-01,238.95
2015-01-01,240.19
2015-04-01,243.38
2015-07-01,245.63
2015-10-01,246.65
2016-01-01,247.64
2016-04-01,251.36
2016-07-01,253.91
2016-10-01,255.9
2017-01-01,253.92
2017-04-01,261.02
2017-07-01,262.16
2017-10-01,263.37
2018-01-01,265.35
2018-04-01,267.91
2018-07-01,270.62
2018-10-01,270.53
2019-01-01,273.46
2019-04-01,278.07
2019-07-01,280.81
2019-10-01,282.95
2020-01-01,285.97
2020-04-01,288.91
2020-07-01,293.29
2020-10-01,298.72
2021-01-01,304.73
2021-04-01,318.67
2021-07-01,330.13
2021-10-01,336.72
2022-01-01,345.63
2022-04-01,362.16
2022-07-01,360.67
2022-10-01,356.32
2023-01-01,357.48
2023-04-01,369.72
2023-07-01,372.73
2023-10-01,371.05
2024-01-01,377.13
2024-04-01,392.17
2024-07-01,394.52
2024-10-01,392.54
